tus,erg,typ,adr,dau,det,kev,cal_abc,remove_VD
-391753.75,47,0,12,4,3,625.7077,"0.002252, 12.903900, 14.249700",False
-391254.47222222225,1881,0,12,4,3,32254.4242,"0.002252, 12.903900, 14.249700",False
-390171.94444444444,61,0,12,4,3,809.7673,"0.002252, 12.903900, 14.249700",False
-389205.25,35,0,12,4,3,468.6449,"0.002252, 12.903900, 14.249700",False
-388468.3888888889,35,0,12,4,3,468.6449,"0.002252, 12.903900, 14.249700",False
-387857.1388888889,1771,0,12,4,3,29930.3217,"0.002252, 12.903900, 14.249700",False
-384764.47222222225,1621,0,12,4,3,26848.9191,"0.002252, 12.903900, 14.249700",False
-383648.77777777775,34,0,12,4,3,455.5856,"0.002252, 12.903900, 14.249700",False
-382662.52777777775,38,0,12,4,3,507.8498,"0.002252, 12.903900, 14.249700",False
-381817.77777777775,83,0,12,4,3,1100.7874,"0.002252, 12.903900, 14.249700",False
-379833.44444444444,984,0,12,4,3,14892.1998,"0.002252, 12.903900, 14.249700",False
-379480.05555555556,1722,0,12,4,3,28912.5851,"0.002252, 12.903900, 14.249700",False
-376905.8611111111,78,0,12,4,3,1034.4551,"0.002252, 12.903900, 14.249700",False
-370484.0833333333,42,0,12,4,3,560.186,"0.002252, 12.903900, 14.249700",False
-369235.3611111111,1809,0,12,4,3,30727.032,"0.002252, 12.903900, 14.249700",False
-367349.75,35,0,12,4,3,468.6449,"0.002252, 12.903900, 14.249700",False
-367123.3333333333,136,0,12,4,3,1810.8331,"0.002252, 12.903900, 14.249700",False
-366490.25,465,0,12,4,3,6501.5019,"0.002252, 12.903900, 14.249700",False
-366197.47222222225,87,0,12,4,3,1153.9344,"0.002252, 12.903900, 14.249700",False
-366021.97222222225,302,0,12,4,3,4116.6189,"0.002252, 12.903900, 14.249700",False
-365468.9166666667,406,0,12,4,3,5624.4438,"0.002252, 12.903900, 14.249700",False
-365132.69444444444,150,0,12,4,3,2000.5047,"0.002252, 12.903900, 14.249700",False
-357705.05555555556,1827,0,12,4,3,31106.6911,"0.002252, 12.903900, 14.249700",False
-357318.3333333333,78,0,12,4,3,1034.4551,"0.002252, 12.903900, 14.249700",False
-355193.97222222225,36,0,12,4,3,481.7087,"0.002252, 12.903900, 14.249700",False
-354632.55555555556,1726,0,12,4,3,28995.2603,"0.002252, 12.903900, 14.249700",False
-353928.47222222225,34,0,12,4,3,455.5856,"0.002252, 12.903900, 14.249700",False
-351378.75,736,0,12,4,3,10731.4195,"0.002252, 12.903900, 14.249700",False
-349989.44444444444,1787,0,12,4,3,30264.986,"0.002252, 12.903900, 14.249700",False
-349729.0,69,0,12,4,3,915.3406,"0.002252, 12.903900, 14.249700",False
-349575.94444444444,516,0,12,4,3,7272.2706,"0.002252, 12.903900, 14.249700",False
-345377.8611111111,92,0,12,4,3,1220.4694,"0.002252, 12.903900, 14.249700",False
-342372.05555555556,1717,0,12,4,3,28809.3424,"0.002252, 12.903900, 14.249700",False
-341765.30555555556,1987,0,12,4,3,34545.5756,"0.002252, 12.903900, 14.249700",False
-338947.3333333333,1867,0,12,4,3,31955.6026,"0.002252, 12.903900, 14.249700",False
-338750.97222222225,81,0,12,4,3,1074.241,"0.002252, 12.903900, 14.249700",False
-335206.5,374,0,12,4,3,5155.3091,"0.002252, 12.903900, 14.249700",False
-334585.4166666667,1781,0,12,4,3,30139.3518,"0.002252, 12.903900, 14.249700",False
-332978.25,180,0,12,4,3,2409.9165,"0.002252, 12.903900, 14.249700",False
-331282.27777777775,50,0,12,4,3,665.0747,"0.002252, 12.903900, 14.249700",False
-329376.75,1726,0,12,4,3,28995.2603,"0.002252, 12.903900, 14.249700",False
-328161.6666666667,339,0,12,4,3,4647.4739,"0.002252, 12.903900, 14.249700",False
-323069.4166666667,70,0,12,4,3,928.5575,"0.002252, 12.903900, 14.249700",False
-320832.77777777775,84,0,12,4,3,1114.0674,"0.002252, 12.903900, 14.249700",False
-320638.30555555556,47,0,12,4,3,625.7077,"0.002252, 12.903900, 14.249700",False
-319429.47222222225,225,0,12,4,3,3031.6347,"0.002252, 12.903900, 14.249700",False
