tus,dau,det,typ,erg
-42236,2,2,0,19
-42204,1,2,0,575
-42137,2,1,0,20
-41844,0,2,0,43
-41588,2,0,0,24
-41477,3,0,0,1619
-41477,3,1,0,85
-41458,2,2,0,34
-41420,3,1,0,1839
-40796,0,0,0,147
-40759,1,1,0,336
-40759,2,0,0,135
-40481,3,2,0,416
-40481,2,0,0,62
-40444,0,0,0,82
-40359,3,0,0,1530
-40138,0,2,0,28
-40138,1,2,0,1746
-40069,2,1,0,1511
-40069,2,2,0,1155
-40069,2,0,0,105
-39947,3,2,0,1921
-39947,2,0,0,27
-39920,0,2,0,1926
-39920,1,0,0,1195
-39920,0,0,0,1768
-39920,0,1,0,1697
-39808,1,0,0,637
-39808,3,2,0,1145
-39755,0,0,0,48
-39700,0,2,0,65
-39665,0,1,0,1676
-39665,0,0,0,919
-39599,2,2,0,38
-39558,2,0,0,23
-39234,3,2,0,1809
-39122,2,2,0,23
-38927,0,2,0,1937
-38873,2,2,0,22
-38611,1,1,0,205
-38516,2,2,0,83
-38467,1,1,0,1346
-38467,3,1,0,1601
-38467,2,0,0,84
-38323,1,1,0,109
-38323,3,0,0,1837
-38323,1,2,0,451
-38139,1,0,0,1839
-38139,3,1,0,1738
-37858,0,0,0,149
-37831,2,1,0,1568
-37831,2,0,0,516
-37823,1,0,0,1632
-37791,0,1,0,1577
-37791,2,2,0,1583
-37791,2,1,0,1230
-37687,1,0,0,491
-37536,0,0,0,1856
-37520,1,1,0,1654
-37442,0,0,0,1728
-37435,0,2,0,42
-37428,2,1,0,51
-37323,0,1,0,74
-37054,3,0,0,65
-36998,3,1,0,56
-36916,2,0,0,16
-36894,1,1,0,40
-36894,1,2,0,1173
-36633,1,1,0,54
-36633,1,0,0,495
-36557,1,2,0,63
-36515,1,0,0,44
-36464,3,0,0,43
-36459,2,1,0,251
-36458,2,0,0,84
-36343,1,2,0,1686
-36060,2,2,0,866
-35776,2,1,0,241
-35763,0,2,0,30
-35729,0,0,0,322
-35518,1,0,0,41
-35335,2,2,0,241
-35335,0,0,0,31
-35088,2,1,0,1592
-35088,2,2,0,68
-35026,3,0,0,1819
-34989,1,2,0,31
-34984,0,0,0,181
-34981,3,1,0,1574
-34583,0,1,0,1863
-34583,3,2,0,39
-34583,0,0,0,438
-34482,2,2,0,24
-34222,3,2,0,39
-34036,1,0,0,253
-33402,0,1,0,574
-32838,1,1,0,1501
-32564,3,0,0,43
-32511,0,0,0,1717
-32511,0,1,0,191
-32282,0,2,0,42
-31985,0,0,0,1705
-31753,0,2,0,918
-31713,1,1,0,47
-31680,1,0,0,136
-31479,2,1,0,1419
-31388,3,2,0,1198
-31173,0,1,0,968
-31033,0,1,0,178
-30958,2,2,0,77
-30958,2,0,0,16
-30958,2,1,0,201
-30402,2,2,0,24
-30187,1,0,0,269
-30182,0,2,0,67
-30182,1,0,0,35
-29975,3,2,0,68
-29907,0,0,0,217
-29699,3,1,0,61
-29478,2,0,0,39
-29436,0,2,0,70
-29436,2,2,0,371
-29436,0,0,0,499
-29356,2,0,0,557
-29356,3,2,0,43
-28856,0,0,0,131
-28834,2,0,0,17
-28834,3,2,0,36
-28769,3,1,0,1907
-28769,3,2,0,1870
-28768,2,0,0,156
-28768,0,0,0,51
-28756,3,0,0,93
-28737,2,1,0,1015
-28737,3,1,0,103
-28737,1,2,0,194
-28737,2,0,0,23
-28737,3,0,0,643
-28734,2,1,1,235
-28734,2,1,3,44
-28358,1,1,0,115
-28322,3,1,0,75
-28216,3,0,0,135
-28143,3,0,0,33
-27764,2,1,0,51
-27694,1,0,0,31
-27533,0,1,0,1643
-27533,0,0,0,60
-27532,2,0,0,83
-27489,2,2,0,22
-27489,2,0,0,35
-27199,2,1,0,1675
-27199,2,2,0,1659
-26877,0,0,0,26
-26651,2,2,0,23
-26589,1,2,0,373
-26582,2,2,0,678
-26076,3,0,0,197
-25945,3,0,0,83
-25700,1,0,0,1797
-25475,3,2,0,271
-25212,0,0,0,1735
-24908,3,0,0,2140
-24848,2,2,0,28
-24750,0,2,0,250
-24441,0,1,0,138
-24197,1,0,0,71
-24091,1,1,0,49
-23978,2,1,0,1536
-23978,0,2,0,87
-23914,2,2,0,18
-23231,0,2,0,59
-23137,3,0,0,37
-23137,3,1,0,88
-23054,2,2,0,1362
-23054,2,0,0,57
-23054,2,1,0,341
-22666,0,2,0,38
-22596,3,2,0,50
-22596,0,1,0,25
-22502,1,2,0,1671
-22464,3,1,0,58
-22367,1,1,0,1642
-22367,1,2,0,389
-22246,0,0,0,60
-22172,1,2,0,1889
-22172,3,0,0,98
-22110,3,0,0,328
-21839,1,0,0,1829
-21839,1,1,0,1717
-21839,1,2,0,228
-21835,2,1,0,1546
-21826,1,0,0,910
-21515,3,1,0,1598
-21490,1,0,0,729
-21472,3,2,0,1914
-21472,0,2,0,1838
-21472,2,0,0,21
-21363,3,0,0,34
-21158,3,2,0,1899
-21158,3,1,0,122
-20221,1,0,0,168
-20221,1,1,0,126
-19924,0,2,0,68
-19888,0,0,0,31
-19821,3,2,0,1891
-19821,1,1,0,41
-19740,2,2,0,1668
-19716,3,2,0,41
-19645,2,2,0,178
-19509,0,0,0,22
-19409,1,0,0,286
-19107,1,2,0,1532
-19107,1,1,0,1060
-18984,2,0,0,26
-18629,0,1,0,1439
-18462,0,0,0,75
-18085,2,0,0,62
-18085,3,2,0,69
-18050,3,0,0,125
-18026,2,2,0,47
-18014,1,1,0,201
-18013,1,2,0,102
-17975,0,2,0,1941
-17886,3,1,0,31
