       Ti        Tf      G1      G2      G3
    4.016     4.032   20.09    3.01    4.01
    4.032     4.048   16.08    6.02    5.01
    4.048     4.064   21.11    7.02    3.00
    4.064     4.080   12.05    6.02    4.01
    4.080     4.096   20.12    9.03    5.01
    4.096     4.112   18.09    8.02    3.00
    4.112     4.128   21.13   10.04    4.01
    4.128     4.144   22.13   11.03    1.00
    4.144     4.160   20.11   10.03    0.00
    4.160     4.176   18.09   11.03    1.00
    4.176     4.192   21.11    7.02    2.00
    4.192     4.208   25.15    5.01    5.01
    4.208     4.224   21.11    5.01    3.00
    4.224     4.240   18.07    4.01    1.00
    4.240     4.256   14.06    7.02    4.01
    4.256     4.272   19.12   12.05    6.01
    4.272     4.288   16.08    8.03    6.01
    4.288     4.304   26.16    5.01    3.00
    4.304     4.320   21.12    8.02    3.00
    4.320     4.336   24.17   15.06    1.00
    4.336     4.352   27.20   10.04    5.01
    4.352     4.368   26.19   12.05    4.01
    4.368     4.384   24.15    9.02    2.00
    4.384     4.400   20.13   12.05    5.01
    4.400     4.416   18.10    7.02    6.01
    4.416     4.432   21.11    7.02    2.00
    4.432     4.448   15.07    7.02    3.00
    4.448     4.464   14.06    8.02    3.00
    4.464     4.480   15.08   14.06    2.00
    4.480     4.496   18.09    7.02    4.01
    4.496     4.512   21.15   15.07    4.01
    4.512     4.528   31.19    3.00    1.00
    4.528     4.544   13.04    4.01    1.00
    4.544     4.560   22.14   10.04    4.01
    4.560     4.576   18.07    3.00    2.00
    4.576     4.592   25.16    6.02    5.01
    4.592     4.608   23.13    8.02    1.00
    4.608     4.624   16.06    2.00    2.00
    4.624     4.640   23.14    6.02    6.01
    4.640     4.656   20.11    8.02    3.00
    4.656     4.672   17.08    6.02    5.01
    4.672     4.688   23.12    4.01    3.00
    4.688     4.704   17.08    2.00    7.02
    4.704     4.720   24.14    8.02    1.00
    4.720     4.736   22.11    5.01    2.00
    4.736     4.752   19.10    9.03    3.00
    4.752     4.768   16.06    5.01    2.00
    4.768     4.784   15.08    8.03    7.02
    4.784     4.800   24.17    6.02   10.03
    4.800     4.816   17.09   11.03    1.00
    4.816     4.832   18.11   11.04    5.01
    4.832     4.848   15.07   11.04    2.00
    4.848     4.864   15.06    6.01    3.00
    4.864     4.880   23.16   11.04    5.01
    4.880     4.896   19.12   13.06    4.01
    4.896     4.912   12.05    9.02    2.00
    4.912     4.928   20.09    6.01    1.00
    4.928     4.944   21.12   10.03    2.00
    4.944     4.960   18.08    5.01    2.00
    4.960     4.976   26.17    8.02    3.00
    4.976     4.992   15.07    6.02    6.01
    4.992     5.008   24.16   12.04    1.00
    5.008     5.024   26.16    7.02    3.00
    5.024     5.040   29.19    5.01    4.01
    5.040     5.056   14.04    2.00    1.00
    5.056     5.072   16.08    4.01    7.02
    5.072     5.088   24.15    4.01    7.02
    5.088     5.104   26.17    6.02    5.01
    5.104     5.120   20.12   13.05    2.00
    5.120     5.136   17.06    3.00    1.00
    5.136     5.152   18.08    7.01    0.00
    5.152     5.168   15.07    8.02    2.00
    5.168     5.184   23.14    9.03    3.00
    5.184     5.200   15.07    7.02    3.00
    5.200     5.216   16.08   10.04    4.01
    5.216     5.232   18.08    5.01    2.00
    5.232     5.248   17.09    8.02    4.01
    5.248     5.264   22.15   10.04    6.01
    5.264     5.280   22.14   11.04    2.00
    5.280     5.296   22.13    9.03    3.00
    5.296     5.312   17.08    6.01    3.00
    5.312     5.328   19.10    6.02    4.01
    5.328     5.344   16.09    9.03    6.01
    5.344     5.360   20.11    6.02    6.01
    5.360     5.376   14.06    8.02    1.00
    5.376     5.392   20.11    9.02    1.00
    5.392     5.408   16.08    8.02    3.00
    5.408     5.424   21.11    4.01    6.01
    5.424     5.440   18.08    4.01    2.00
    5.440     5.456   18.08    4.01    4.01
    5.456     5.472   17.07    3.01    4.01
    5.472     5.488   19.09    7.02    2.00
    5.488     5.504   18.09    8.02    4.01
    5.504     5.520   18.08    6.01    2.00
    5.520     5.536   19.09    6.01    1.00
    5.536     5.552   23.15   10.03    3.00
    5.552     5.568   17.09   11.03    1.00
    5.568     5.584   16.08    7.02    4.01
    5.584     5.600   13.05    4.01    5.01
    5.600     5.616   20.11   11.03    1.00
    5.616     5.632   18.09    6.02    4.01
    5.632     5.648   20.09    5.01    2.00
    5.648     5.664    9.03    6.01    1.00
    5.664     5.680   19.09    6.01    3.00
    5.680     5.696   15.05    4.01    1.00
    5.696     5.712   14.05    7.01    1.00
    5.712     5.728   11.03    3.00    1.00
    5.728     5.744   10.02    3.00    1.00
    5.744     5.760   17.10   11.04    4.01
    5.760     5.776   15.06    6.01    2.00
    5.776     5.792   12.05    8.02    3.00
    5.792     5.808   22.12    4.01    4.01
    5.808     5.824   28.19    7.02    3.00
    5.824     5.840   20.09    3.00    3.00
    5.840     5.856   13.05    3.01    5.01
    5.856     5.872   20.09    1.00    4.01
    5.872     5.888   20.11    7.02    3.00
    5.888     5.904   17.06    1.00    1.00
    5.904     5.920   20.09    5.01    2.00
    5.920     5.936   22.11    5.01    1.00
    5.936     5.952   17.06    3.00    1.00
    5.952     5.968   11.04    8.02    1.00
    5.968     5.984   22.11    7.01    0.00
    5.984     6.000   19.10    9.03    3.00
    6.000     6.016   17.08    7.02    4.01
    6.016     6.032   20.11    9.02    2.00
    6.032     6.048   23.13    7.02    2.00
    6.048     6.064   18.08    7.01    1.00
    6.064     6.080   21.11    8.02    2.00
    6.080     6.096   19.08    3.00    2.00
    6.096     6.112   12.05   12.04    2.00
    6.112     6.128   16.06    7.01    0.00
    6.128     6.144   22.12    5.01    3.00
    6.144     6.160   21.11    8.02    2.00
    6.160     6.176    9.02    4.01    2.00
    6.176     6.192   18.08    5.01    1.00
    6.192     6.208   22.11    1.00    5.01
    6.208     6.224   13.05    6.01    2.00
    6.224     6.240   17.08    6.01    3.00
    6.240     6.256   14.06    7.02    3.00
    6.256     6.272   14.05    8.02    0.00
    6.272     6.288   18.08    6.01    2.00
    6.288     6.304   15.07    7.02    4.01
    6.304     6.320   18.09    9.03    3.00
    6.320     6.336   18.09    5.01    4.01
    6.336     6.352   16.08   11.03    0.00
    6.352     6.368   18.10   11.04    2.00
    6.368     6.384   21.11    6.02    4.01
    6.384     6.400   18.08    5.01    3.00
    6.400     6.416   21.14   11.04    5.01
    6.416     6.432   14.06    9.03    3.00
    6.432     6.448   12.05    9.02    2.00
    6.448     6.464   17.09   11.03    1.00
    6.464     6.480   19.10    5.01    5.01
    6.480     6.496   15.07    8.02    2.00
    6.496     6.512   25.15    6.01    3.00
    6.512     6.528   25.15    6.01    2.00
    6.528     6.544   25.16    7.02    4.01
    6.544     6.560   15.07    4.01    8.02
    6.560     6.576   14.08   13.06    6.01
    6.576     6.592   14.06    7.02    3.00
    6.592     6.608   17.08    8.02    2.00
    6.608     6.624   16.08    6.02    6.01
    6.624     6.640   19.09    5.01    4.01
    6.640     6.656   23.15   10.03    3.00
    6.656     6.672   26.17    8.02    3.00
    6.672     6.688   16.07    7.02    3.00
