       Ti        Tf      G1      G2      G3
    6.704     6.720   42.04   25.20    7.02
    6.720     6.736   48.08   21.12    1.00
    6.736     6.752   44.00   19.11    3.00
    6.752     6.768   50.22   28.23    4.01
    6.768     6.784   39.96   19.12    7.02
    6.784     6.800   42.00   22.15    5.01
    6.800     6.816   37.93   23.16    5.01
    6.816     6.832   39.99   23.18    8.02
    6.832     6.848   37.86   16.07    1.00
    6.848     6.864   41.89    9.03    3.00
    6.864     6.880   48.07   16.08    4.01
    6.880     6.896   40.03   26.24   10.03
    6.896     6.912   35.85   13.07    7.02
    6.912     6.928   35.90   24.17    4.01
    6.928     6.944   37.89   20.11    2.00
    6.944     6.960   37.97   26.22    7.02
    6.960     6.976   33.87   21.15    8.02
    6.976     6.992   42.05   27.22    6.01
    6.992     7.008   41.96   19.10    2.00
    7.008     7.024   33.86   21.15    7.02
    7.024     7.040   39.96   21.14    5.01
    7.040     7.056   35.91   22.16    7.02
    7.056     7.072   27.29   31.27    3.00
    7.072     7.088   39.97   22.15    5.01
    7.088     7.104   37.90   18.10    5.01
    7.104     7.120   33.82   18.09    3.00
    7.120     7.136   33.83   20.11    2.00
    7.136     7.152   27.27   25.19    5.01
    7.152     7.168   44.00   14.07    7.02
    7.168     7.184   26.22   17.09    5.01
    7.184     7.200   35.82   13.05    3.00
    7.200     7.216   35.84   17.08    1.00
    7.216     7.232   35.88   21.13    4.01
    7.232     7.248   29.26   18.10    4.01
    7.248     7.264   39.91   13.06    6.01
    7.264     7.280   35.83   15.06    2.00
    7.280     7.296   41.99   20.13    5.01
    7.296     7.312   48.08   19.10    2.00
    7.312     7.328   44.00   16.09    6.01
    7.328     7.344   39.94   17.10    6.01
    7.344     7.360   44.06   25.18    4.01
    7.360     7.376   33.80   13.06    5.01
    7.376     7.392   35.89   20.13    6.01
    7.392     7.408   35.92   28.22    3.00
    7.408     7.424   39.96   21.14    5.01
    7.424     7.440   33.83   18.10    4.01
    7.440     7.456   31.27   15.07    3.00
    7.456     7.472   32.34   23.16    5.01
    7.472     7.488   35.90   22.16    6.01
    7.488     7.504   39.96   24.16    2.00
    7.504     7.520   42.02   26.19    3.00
    7.520     7.536   37.91   21.13    3.00
    7.536     7.552   37.93   22.16    6.01
    7.552     7.568   41.95   17.09    3.00
    7.568     7.584   42.03   20.16   11.04
    7.584     7.600   35.88   17.11    8.02
    7.600     7.616   39.92   14.07    6.01
    7.616     7.632   44.00   14.07    7.02
    7.632     7.648   43.97   14.06    3.00
    7.648     7.664   44.00   21.11    0.00
    7.664     7.680   40.10   35.92   11.04
    7.680     7.696   29.29   21.14    6.01
    7.696     7.712   33.88   25.19    5.01
    7.712     7.728   33.88   26.20    5.01
    7.728     7.744   39.97   23.16    4.01
    7.744     7.760   30.30   24.16    3.00
    7.760     7.776   42.08   28.26    9.03
    7.776     7.792   46.04   20.11    1.00
    7.792     7.808   39.96   25.16    1.00
    7.808     7.824   39.96   23.15    3.00
    7.824     7.840   48.10   20.12    4.01
    7.840     7.856   40.02   29.26    6.01
    7.856     7.872   35.91   28.20    1.00
    7.872     7.888   32.40   28.28   11.04
    7.888     7.904   37.94   27.20    2.00
    7.904     7.920   42.02   21.15    8.02
    7.920     7.936   32.33   24.16    3.00
    7.936     7.952   26.22   18.09    3.00
    7.952     7.968   33.83   18.10    4.01
    7.968     7.984   40.02   29.26    6.01
    7.984     8.000   37.93   22.15    5.01
    8.000     8.016   37.98   30.26    4.01
    8.016     8.032   30.35   31.27    4.01
    8.032     8.048   48.05   16.07    2.00
    8.048     8.064   37.96   26.21    6.01
    8.064     8.080   37.93   21.14    6.01
    8.080     8.096   27.24   17.10    7.02
    8.096     8.112   39.95   19.12    6.01
    8.112     8.128   33.80   15.07    3.00
    8.128     8.144   31.35   24.19    8.02
    8.144     8.160   28.31   29.25    5.01
    8.160     8.176   33.82   17.09    3.00
    8.176     8.192   39.99   23.17    7.02
    8.192     8.208   26.21   18.09    2.00
    8.208     8.224   31.28   18.09    2.00
    8.224     8.240   33.82   16.08    4.01
    8.240     8.256   30.29   19.12    6.01
    8.256     8.272   35.87   18.10    5.01
    8.272     8.288   42.02   24.18    5.01
    8.288     8.304   42.06   30.26    5.01
    8.304     8.320   35.90   22.16    6.01
    8.320     8.336   29.28   20.13    5.01
    8.336     8.352   48.14   22.16    6.01
    8.352     8.368   37.91   21.13    4.01
    8.368     8.384   38.01   28.28   11.04
    8.384     8.400   48.10   19.11    5.01
    8.400     8.416   37.99   31.28    5.01
    8.416     8.432   40.01   27.23    7.02
    8.432     8.448   30.27   16.08    5.01
    8.448     8.464   39.95   18.11    7.02
    8.464     8.480   39.99   23.17    7.02
    8.480     8.496   48.19   28.24    6.01
    8.496     8.512   42.01   25.18    3.00
    8.512     8.528   44.11   30.26    5.01
    8.528     8.544   32.33   19.13    8.02
    8.544     8.560   27.26   19.13    8.02
    8.560     8.576   30.29   20.12    4.01
    8.576     8.592   46.15   26.23    9.03
    8.592     8.608   35.85   18.09    3.00
    8.608     8.624   33.85   24.15    1.00
    8.624     8.640   37.99   30.27    6.01
    8.640     8.656   29.28   20.13    6.01
    8.656     8.672   44.07   23.17    7.02
    8.672     8.688   37.99   29.26    7.02
    8.688     8.704   42.16   42.00    6.01
