tus,dau,det,typ,erg,adr,keV,st,dt,flag
0.8049959999999999,1,2,0,1751,2,30361.7088,21.144683837890625,3075.0,False
0.8049959999999999,3,2,0,50,8,1473.0738,1.315382480621338,769.0,False
0.805037,3,2,0,1350,8,28439.7538,19.0,41.0,False
0.805037,3,1,0,1443,7,28342.6212,19.0,41.0,False
0.805209,1,3,0,1925,3,31222.601,23.48904037475586,213.0,False
0.805209,1,2,0,1714,2,29895.2373,20.916189193725586,213.0,False
0.805222,3,1,0,26,7,671.2411,1.0,185.0,False
0.805588,3,2,0,21,8,604.3432,0.20868639647960663,551.0,False
0.805589,1,2,0,137,2,2978.3137,3.0,380.0,False
0.805595,3,1,0,27,7,697.0337,1.0,373.0,False
0.805595,3,2,0,847,8,20784.6994,19.0,7.0,False
0.805595,3,3,0,99,9,2621.9438,2.2438876628875732,3766.0,False
0.8059339999999999,4,1,0,45,10,668.1703,1.672681212425232,2359.0,False
0.8060579999999999,3,1,0,77,7,1975.3789,2.3005051612854004,463.0,False
0.806568,2,1,0,81,4,715.4969,4.154969215393066,3258.0,False
0.806828,4,2,0,49,11,780.8375,0.5616750121116638,4166.0,False
0.807174,2,1,0,39,4,370.6433,0.0,606.0,False
0.8072429999999999,3,3,0,179,9,4677.9926,5.711970329284668,1648.0,False
0.807736,2,2,0,1695,5,32073.3828,23.82935333251953,3074.0,False
0.807736,2,3,0,187,6,1727.3517,8.424505233764648,2839.0,False
0.807736,1,1,0,325,1,3293.4251,14.173700332641602,4113.0,False
0.807736,3,3,0,1554,9,29903.172,19.0,493.0,False
0.807736,1,2,0,1744,2,30274.0379,21.109615325927734,2147.0,False
0.807899,4,2,0,113,11,1910.0236,4.64009428024292,1071.0,False
0.808007,4,2,0,44,11,692.9773,0.3859545886516571,108.0,False
0.8085399999999999,3,1,0,18,7,464.5824,0.6458240151405334,2482.0,False
0.808703,1,1,0,32,1,333.2189,0.0,967.0,False
0.80885,3,2,0,584,8,15385.6492,17.154258728027344,3255.0,False
0.808922,2,3,0,42,6,515.958,1.1595799922943115,1186.0,False
0.808987,2,1,0,61,4,548.5969,2.485969066619873,1813.0,False
0.8090539999999999,2,3,0,46,6,545.7036,1.457036018371582,132.0,False
0.809057,3,1,0,17,7,438.7102,0.38710200786590576,517.0,False
0.809057,4,3,0,897,12,13846.9569,21.0,5021.0,False
0.809071,2,1,0,33,4,323.1353,0.0,84.0,False
0.809098,3,2,0,40,8,1174.8286,1.1165523529052734,248.0,False
0.809545,1,3,0,268,3,3268.2787,11.0,4336.0,False
0.809545,2,1,0,169,4,1507.8313,9.708433151245117,474.0,False
0.8097219999999999,4,1,0,146,10,2142.2912,6.046109676361084,3788.0,False
0.8097219999999999,3,1,0,857,7,19053.4664,17.0,665.0,False
0.809905,2,1,0,97,4,852.5305,5.525304794311523,360.0,False
0.810636,3,3,0,17,9,447.3431,0.0,2900.0,False
0.810929,4,2,0,61,11,991.9134,0.9838268160820007,2922.0,False
0.8109569999999999,2,2,0,46,5,625.5776,1.7534656524658203,3221.0,False
0.8109569999999999,2,1,0,91,4,800.7769,5.0077691078186035,1052.0,False
0.810976,4,2,0,32,11,482.324,0.0,47.0,False
0.810976,3,3,0,1636,9,30803.5688,19.642854690551758,340.0,False
0.811018,2,1,0,54,4,491.3348,1.8266960382461548,61.0,False
0.811018,1,3,0,409,3,5113.9035,15.0,1473.0,False
0.811269,1,3,0,173,3,2080.688,6.440917491912842,251.0,False
0.811563,4,1,0,404,10,6086.3501,15.3454008102417,1841.0,False
0.8117179999999999,3,1,0,66,7,1696.0408,1.9280544519424438,1996.0,False
0.812807,1,2,0,75,2,1639.1985,2.4261324405670166,5071.0,False
0.813044,3,2,0,38,8,1115.0132,1.0766754150390625,3946.0,False
0.813673,1,3,0,1880,3,30282.5164,23.113006591796875,2404.0,False
0.814059,4,2,0,135,11,2300.1414,6.200565814971924,3083.0,False
0.81406,4,1,0,40,10,596.2153,1.3848612308502197,2497.0,False
0.814743,2,2,0,110,5,1463.2764,5.544254779815674,3786.0,False
0.814743,1,3,0,37,3,458.9098,0.5890979766845703,1070.0,False
0.814937,3,2,0,20,8,574.179,0.14835800230503082,1893.0,False
0.815136,4,2,0,78,11,1291.4484,2.1657936573028564,1077.0,False
0.815136,3,3,0,337,9,8548.6007,12.67776107788086,4160.0,False
0.815136,2,1,0,1765,4,32272.6465,25.909059524536133,4118.0,False
0.815136,3,1,0,1894,7,33422.7357,21.738187789916992,3418.0,False
0.815136,1,2,0,1778,2,30697.3308,21.278932571411133,2329.0,False
0.815136,1,1,0,219,1,2118.4516,8.965075492858887,6433.0,False
0.815136,4,3,0,1815,12,30907.8143,25.72625160217285,6079.0,False
0.815136,1,3,0,1952,3,31791.5002,23.71660041809082,393.0,False
0.815136,3,2,0,1663,8,31432.7487,20.71929931640625,199.0,False
0.815136,2,2,0,801,5,12476.7205,19.0,393.0,False
0.815474,4,1,0,91,10,1334.6768,3.8924715518951416,1414.0,False
0.8156829999999999,3,1,0,1476,7,28775.3615,19.0,547.0,False
0.815958,3,2,0,25,8,724.8613,0.4497225880622864,822.0,False
0.815958,3,1,0,72,7,1848.5397,2.1313862800598145,275.0,False
0.8167139999999999,4,1,0,1684,10,29447.3434,23.0,1240.0,False
0.816754,2,3,0,35,6,464.4047,0.6440470218658447,7700.0,False
0.816986,2,3,0,1671,6,29865.265,23.0,232.0,False
0.816986,2,2,0,1648,5,30892.8941,23.35715675354004,1850.0,False
0.817101,4,1,0,175,10,2572.8185,7.291274070739746,387.0,False
0.817225,1,2,0,1563,2,27913.0645,19.33045196533203,2089.0,False
0.817229,2,1,0,988,4,13413.2248,23.0,2093.0,False
0.817815,1,2,0,51,2,1115.1264,2.0767509937286377,590.0,False
0.817815,1,1,0,40,1,402.0759,0.02075899951159954,2679.0,False
0.81826,3,1,0,68,7,1746.9092,1.9958789348602295,2302.0,False
0.818727,1,2,0,59,2,1290.1709,2.1934473514556885,912.0,False
0.818727,3,3,0,413,9,10320.5141,15.2564115524292,3591.0,False
0.818727,3,2,0,1615,8,31061.9341,20.274320602416992,2769.0,False
0.818758,1,3,0,181,3,2178.9598,6.571946620941162,3622.0,False
0.818771,2,2,0,1725,5,32835.6042,24.134241104125977,1785.0,False
0.818771,2,3,0,520,6,5545.7618,17.0,1785.0,False
0.818885,1,1,0,41,1,410.7303,0.10730300098657608,1070.0,False
0.819248,3,3,0,176,9,4602.0585,5.408234119415283,521.0,False
0.819248,1,1,0,152,1,1436.6208,5.328644275665283,363.0,False
0.819248,2,2,0,90,5,1198.1744,4.660581111907959,477.0,False
0.819248,1,3,0,125,3,1497.761,5.663681507110596,490.0,False
0.819248,4,1,0,657,10,10203.1021,19.1624813079834,2147.0,False
0.819418,1,3,0,72,3,867.4629,3.9397032260894775,170.0,False
0.819434,2,3,0,1478,6,24583.5191,23.0,663.0,False
0.819711,4,2,0,1685,11,32310.0324,24.848026275634766,4575.0,False
0.819711,3,2,0,1492,8,29965.921,19.0,984.0,False
0.819711,2,1,0,1753,4,31925.3833,25.770153045654297,2482.0,False
0.819711,2,3,0,1668,6,29779.454,23.0,277.0,False
0.819711,4,3,0,1828,12,31170.6092,25.936487197875977,4575.0,False
0.819711,3,1,0,1638,7,30759.9691,19.607975006103516,1451.0,False
0.819711,2,2,0,1596,5,29606.25,23.0,463.0,False
0.819712,4,1,0,32,10,481.2877,0.8128769993782043,464.0,False
0.819712,3,3,0,18,9,474.2721,0.0,464.0,False
0.819712,1,3,0,842,3,11401.5372,21.0,294.0,False
0.8197829999999999,4,3,0,177,12,2530.9516,7.0,72.0,False
0.8197829999999999,4,2,0,58,11,939.1165,0.878233015537262,72.0,False
0.819784,3,1,0,195,7,4904.5722,7.0,73.0,False
0.819929,1,1,0,56,1,541.8056,1.1672223806381226,681.0,False
0.820291,1,1,0,80,1,756.4391,2.025756359100342,362.0,False
0.820778,3,1,0,113,7,2882.0907,3.0,994.0,False
0.820778,3,3,0,38,9,1010.7285,1.0071523189544678,1066.0,False
0.820778,3,2,0,37,8,1085.0847,1.0567231178283691,1064.0,False
0.8217,3,2,0,19,8,544.0009,0.0880018025636673,922.0,False
0.82177,4,2,0,61,11,991.9134,0.9838268160820007,1987.0,False
0.8219569999999999,2,1,0,141,4,1245.4769,8.309209823608398,2246.0,False
0.822382,4,2,0,129,11,2193.6461,5.7745842933654785,612.0,False
0.822382,2,2,0,1523,5,27834.4373,23.0,2671.0,False
0.822562,2,2,0,200,5,2693.598,9.774392127990723,180.0,False
0.822838,1,3,0,26,3,331.7693,0.0,3126.0,False
0.822993,2,3,0,45,6,538.2477,1.382477045059204,3282.0,False
0.823522,1,1,0,109,1,1023.8557,3.127230405807495,3231.0,False
0.823561,1,3,0,1904,3,30782.6379,23.31305503845215,723.0,False
0.823587,2,3,0,36,6,471.7304,0.717303991317749,594.0,False
0.823805,4,1,0,51,10,754.6434,2.018573522567749,4093.0,False
0.8244279999999999,1,3,0,40,3,493.6892,0.9368919730186462,867.0,False
0.824569,3,2,0,17,8,483.6033,0.0,2869.0,False
0.824861,4,3,0,1708,12,28767.2929,24.01383399963379,5078.0,False
0.824861,4,1,0,1758,10,30990.9785,23.396390914916992,1056.0,False
0.824861,4,2,0,1651,11,31598.3513,24.2786808013916,2479.0,False
0.8248639999999999,1,1,0,56,1,541.8056,1.1672223806381226,1342.0,False
0.8248639999999999,3,2,0,50,8,1473.0738,1.315382480621338,295.0,False
0.824946,2,2,0,1445,5,25985.7178,21.78857421875,2384.0,False
0.824982,4,2,0,1710,11,32834.8554,25.267885208129883,121.0,False
0.825094,4,1,0,1859,10,33131.8916,24.252756118774414,233.0,False
0.825095,2,3,0,1691,6,30440.333,23.17613410949707,1508.0,False
0.825095,2,1,0,58,4,523.9828,2.239828109741211,3138.0,False
0.825095,2,2,0,79,5,1053.6552,4.1788506507873535,149.0,False
0.825095,3,1,0,45,7,1159.7862,1.2130482196807861,4317.0,False
0.825095,4,2,0,984,11,18121.2428,21.0,113.0,False
0.825233,4,2,0,54,11,868.7495,0.7374989986419678,138.0,False
0.825234,3,3,0,84,9,2229.2312,1.819487452507019,4456.0,False
0.825477,4,2,0,218,11,3780.9782,12.123912811279297,244.0,False
0.826207,4,2,0,31,11,464.7831,0.0,730.0,False
0.8262619999999999,2,1,0,39,4,370.6433,0.0,1167.0,False
0.826519,3,3,0,17,9,447.3431,0.0,1285.0,False
0.82746,4,3,0,59,12,849.5299,1.6990598440170288,2599.0,False
0.82746,1,1,0,30,1,316.1096,0.0,2596.0,False
0.82746,3,2,0,1545,8,30463.9045,19.556684494018555,2596.0,False
0.827553,4,1,0,121,10,1773.7485,5.063329219818115,2459.0,False
0.828051,1,1,0,397,1,4158.7916,15.0,591.0,False
0.8280799999999999,3,3,0,143,9,3760.7777,5.0,1561.0,False
0.828148,1,1,0,50,1,489.092,0.8909199833869934,97.0,False
0.828861,3,1,0,621,7,14454.221,17.0,3766.0,False
0.828861,4,3,0,464,12,6824.0385,17.0,1401.0,False
0.8290339999999999,4,2,0,94,11,1573.9107,3.295642852783203,2827.0,False
0.8290339999999999,1,3,0,1517,3,23068.5383,21.454830169677734,4606.0,False
0.8290339999999999,2,1,0,88,4,775.0648,4.750648021697998,2772.0,False
0.8290339999999999,4,3,0,1316,12,21267.8923,23.0,173.0,False
0.8290339999999999,3,1,0,40,7,1031.5314,1.0420418977737427,173.0,False
0.8293309999999999,4,1,0,925,10,14832.9935,21.0,1778.0,False
0.829776,4,3,0,1803,12,30665.7597,25.532608032226562,742.0,False
0.829776,4,2,0,1705,11,32729.7872,25.18383026123047,742.0,False
0.829851,1,3,0,32,3,401.0439,0.010439000092446804,817.0,False
0.829871,3,2,0,22,8,634.4935,0.2689869999885559,2411.0,False
0.829952,1,1,0,28,1,299.0423,0.0,1804.0,False
0.830152,4,1,0,1716,10,30112.2714,23.04490852355957,821.0,False
0.830152,2,1,0,49,4,450.7993,1.0159859657287598,1118.0,False
0.830565,2,2,0,265,5,3620.1866,11.480746269226074,5470.0,False
0.830711,2,2,0,704,5,10713.244,19.0,146.0,False
0.830736,1,1,0,78,1,738.322,1.953287959098816,784.0,False
0.831249,2,2,0,1562,5,28776.0179,23.0,538.0,False
0.831351,4,2,0,502,11,8955.9183,18.16473388671875,1575.0,False
0.831765,2,2,0,1194,5,20348.2865,21.0,516.0,False
0.831876,1,1,0,26,1,282.017,0.0,1140.0,False
