######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000312    2021-Jan-02 20:40:03.874904      41938 
000313    2021-Jan-02 20:40:10.958089      41983 
000314    2021-Jan-02 23:58:40.011182      89605 
000315    2021-Jan-03 01:15:47.895376      71938 
000316    2021-Jan-03 01:26:36.246736      69459 
000317    2021-Jan-03 02:49:14.383576      50380 
000318    2021-Jan-03 02:49:16.882778      50368 
000319    2021-Jan-03 02:49:17.966025      50364 
000320    2021-Jan-03 07:23:35.613775     -11972 
000321    2021-Jan-03 07:23:48.197072     -12017 
000322    2021-Jan-03 07:24:01.530055     -12066 
000323    2021-Jan-03 07:24:02.862722     -12073 
000324    2021-Jan-03 07:24:07.279106     -12088 
000325    2021-Jan-03 07:24:09.279109     -12096 
000326    2021-Jan-03 07:24:13.695409     -12115 
000327    2021-Jan-03 07:24:21.194967     -12141 
000328    2021-Jan-03 07:24:22.445194     -12145 
000329    2021-Jan-03 07:24:26.362668     -12160 
000330    2021-Jan-03 07:24:30.111564     -12175 
000331    2021-Jan-03 07:24:31.111576     -12179 
000332    2021-Jan-03 07:24:34.945282     -12194 
000333    2021-Jan-03 07:24:42.697720     -12224 
000334    2021-Jan-03 07:24:44.030598     -12228 
000335    2021-Jan-03 07:24:45.780623     -12235 
000336    2021-Jan-03 07:24:46.780795     -12239 
000337    2021-Jan-03 07:24:50.362437     -12250 
000338    2021-Jan-03 07:24:57.446348     -12277 
000339    2021-Jan-03 07:25:06.112882     -12311 
000340    2021-Jan-03 07:25:07.279354     -12314 
000341    2021-Jan-03 07:25:45.447714     -12458 
000342    2021-Jan-03 12:01:10.692849     -74987 
000343    2021-Jan-03 12:01:44.694029     -75114 
000344    2021-Jan-03 12:01:45.694148     -75118 
000345    2021-Jan-03 12:01:46.778860     -75126 
000346    2021-Jan-03 12:01:50.693079     -75137 
000347    2021-Jan-03 12:01:51.693032     -75141 
000348    2021-Jan-03 12:01:57.358852     -75163 
000349    2021-Jan-03 12:02:01.109058     -75178 
000350    2021-Jan-03 12:02:02.109026     -75182 
000351    2021-Jan-03 12:02:04.275607     -75189 
000352    2021-Jan-03 12:02:09.776153     -75212 
000353    2021-Jan-03 12:02:12.443482     -75219 
000354    2021-Jan-03 12:02:17.608300     -75238 
000355    2021-Jan-03 12:02:19.941799     -75249 
000356    2021-Jan-03 12:02:25.608453     -75268 
000357    2021-Jan-03 12:02:28.441117     -75279 
000358    2021-Jan-03 12:02:34.108132     -75302 
000359    2021-Jan-03 12:05:37.441945     -75987 
000360    2021-Jan-03 12:06:30.694336     -76186 
000361    2021-Jan-03 12:07:59.193748     -76519 
000362    2021-Jan-03 13:38:57.164243     -97234 
000363    2021-Jan-03 13:39:45.082179     -97418 
000364    2021-Jan-03 15:13:19.519195     -69304 
000365    2021-Jan-03 15:13:24.268364     -69272 
000366    2021-Jan-03 15:14:14.102556     -68954 
000367    2021-Jan-03 15:17:21.516569     -67765 
000368    2021-Jan-03 15:18:22.850284     -67371 
000369    2021-Jan-03 16:48:02.749933     -32691 
000370    2021-Jan-03 16:48:22.748814     -32561 
000371    2021-Jan-03 16:48:41.333561     -32437 
000372    2021-Jan-03 16:48:43.416790     -32424 
000373    2021-Jan-03 16:48:47.250297     -32398 
000374    2021-Jan-03 16:49:12.833327     -32235 
000375    2021-Jan-03 16:49:22.331215     -32170 
000376    2021-Jan-03 18:14:01.783398        893 
000377    2021-Jan-03 18:14:49.949768       1210 
000378    2021-Jan-03 18:15:17.448076       1385 
000379    2021-Jan-03 18:15:22.531172       1418 
000380    2021-Jan-03 18:16:06.949263       1709 
000381    2021-Jan-03 18:27:20.376996       6073 
000382    2021-Jan-03 18:27:44.211359       6228 
000383    2021-Jan-03 18:27:46.961750       6248 
000384    2021-Jan-03 18:27:59.544237       6326 
000385    2021-Jan-03 18:28:00.961559       6338 
000386    2021-Jan-03 18:28:12.459971       6410 
000387    2021-Jan-03 18:28:13.459933       6416 
000388    2021-Jan-03 18:28:14.960543       6429 
000389    2021-Jan-03 18:28:21.960402       6475 
000390    2021-Jan-03 18:28:27.126773       6507 
000391    2021-Jan-03 18:28:30.209074       6527 
000392    2021-Jan-03 18:28:32.959346       6546 
000393    2021-Jan-03 18:28:47.377436       6637 
000394    2021-Jan-03 18:28:50.878457       6656 
000395    2021-Jan-03 18:28:51.878424       6663 
000396    2021-Jan-03 18:29:13.793241       6805 
000397    2021-Jan-03 19:47:00.513330      36995 
000398    2021-Jan-03 19:47:37.179175      37232 
000399    2021-Jan-03 19:47:43.097855      37271 
000400    2021-Jan-03 19:47:48.513053      37303 
000401    2021-Jan-03 19:47:50.596373      37315 
000402    2021-Jan-03 19:48:17.428678      37489 
000403    2021-Jan-03 19:48:22.845593      37521 
000404    2021-Jan-03 19:48:26.428605      37546 
000405    2021-Jan-03 19:51:33.510621      38742 
000406    2021-Jan-03 19:51:43.429345      38806 
000407    2021-Jan-03 19:51:57.594718      38896 
000408    2021-Jan-03 19:52:08.929188      38966 
000409    2021-Jan-03 19:52:21.094031      39049 
000410    2021-Jan-03 19:52:23.094028      39062 
000411    2021-Jan-03 19:52:27.094007      39088 
