######    yyyy-MMM-dd HH:mm:ss.SSSSSS      Corr 
 
000281    2021-Jan-04 11:37:18.576465     -73672 
000282    2021-Jan-04 11:39:00.140660     -74047 
000283    2021-Jan-04 11:44:18.865991     -75233 
000284    2021-Jan-04 12:50:54.874546     -90235 
000285    2021-Jan-04 13:01:13.700101     -92558 
000286    2021-Jan-04 13:02:18.944169     -92802 
000287    2021-Jan-04 13:11:26.515728     -94859 
000288    2021-Jan-04 13:20:31.800129     -96915 
000289    2021-Jan-04 14:35:15.037053     -77206 
000290    2021-Jan-04 14:40:50.664369     -75062 
000291    2021-Jan-04 14:41:28.528350     -74825 
000292    2021-Jan-04 14:47:57.552212     -72348 
000293    2021-Jan-04 14:51:52.548650     -70852 
000294    2021-Jan-04 14:52:20.751888     -70668 
000295    2021-Jan-04 16:18:09.625370     -37977 
000296    2021-Jan-04 16:20:14.145692     -37184 
000297    2021-Jan-04 17:50:58.438468      -2246 
000298    2021-Jan-04 17:55:31.766294       -476 
000299    2021-Jan-04 17:57:32.748725        306 
000300    2021-Jan-04 19:04:53.830109      26517 
000301    2021-Jan-04 19:10:42.876209      28785 
000302    2021-Jan-04 19:11:16.590895      29000 
000303    2021-Jan-04 19:15:57.285344      30817 
000304    2021-Jan-04 19:21:27.782694      32964 
000305    2021-Jan-04 19:30:49.600309      36596 
000306    2021-Jan-04 20:35:14.164254      61533 
000307    2021-Jan-04 20:38:06.094191      62646 
000308    2021-Jan-04 20:42:05.863495      64200 
000309    2021-Jan-04 20:54:27.620053      68996 
000310    2021-Jan-04 20:56:13.095772      69682 
000311    2021-Jan-04 20:57:35.093444      70213 
000312    2021-Jan-04 21:00:25.378774      71313 
000313    2021-Jan-04 21:00:28.914850      71339 
000314    2021-Jan-04 22:12:43.413611      99491 
000315    2021-Jan-04 22:21:09.722173      99221 
000316    2021-Jan-04 22:21:13.666731      99206 
000317    2021-Jan-04 22:25:37.711783      98228 
000318    2021-Jan-04 22:32:07.786201      96778 
000319    2021-Jan-04 22:32:12.401578      96759 
000320    2021-Jan-04 22:35:04.305198      96115 
000321    2021-Jan-04 23:47:51.639561      79540 
000322    2021-Jan-04 23:58:13.877579      77158 
000323    2021-Jan-05 00:09:20.135864      74620 
000324    2021-Jan-05 00:09:24.296704      74605 
000325    2021-Jan-05 01:22:42.287737      58254 
000326    2021-Jan-05 01:33:21.114344      55900 
000327    2021-Jan-05 01:33:40.331273      55830 
000328    2021-Jan-05 02:55:20.345810      37676 
000329    2021-Jan-05 03:05:08.544760      35463 
000330    2021-Jan-05 03:15:25.257191      33126 
000331    2021-Jan-05 04:28:17.450561      16430 
000332    2021-Jan-05 04:29:27.098627      16162 
000333    2021-Jan-05 04:37:22.857242      14348 
000334    2021-Jan-05 04:42:40.401155      13129 
000335    2021-Jan-05 04:48:41.839900      11747 
000336    2021-Jan-05 06:12:05.158949      -7147 
000337    2021-Jan-05 06:15:17.322476      -7882 
000338    2021-Jan-05 06:21:24.166708      -9290 
000339    2021-Jan-05 07:25:11.211272     -23792 
000340    2021-Jan-05 07:38:26.562228     -26760 
000341    2021-Jan-05 07:44:35.551306     -28140 
000342    2021-Jan-05 07:44:49.175241     -28192 
000343    2021-Jan-05 07:55:10.868137     -30520 
000344    2021-Jan-05 09:01:46.695896     -45547 
000345    2021-Jan-05 09:09:13.764404     -47227 
000346    2021-Jan-05 09:11:25.986295     -47723 
000347    2021-Jan-05 09:16:35.760715     -48895 
000348    2021-Jan-05 09:21:09.482310     -49931 
000349    2021-Jan-05 10:31:28.600088     -65819 
000350    2021-Jan-05 10:32:26.017077     -66033 
000351    2021-Jan-05 10:35:09.325191     -66649 
000352    2021-Jan-05 10:37:13.755033     -67116 
000353    2021-Jan-05 10:37:53.460533     -67266 
000354    2021-Jan-05 10:40:46.956289     -67918 
000355    2021-Jan-05 10:51:22.984284     -70325 
000356    2021-Jan-05 10:54:38.074161     -71063 
000357    2021-Jan-05 12:07:21.218366     -87548 
000358    2021-Jan-05 13:45:56.491110     -83342 
000359    2021-Jan-05 13:47:23.598277     -82785 
000360    2021-Jan-05 13:59:47.524070     -78016 
000361    2021-Jan-05 14:01:29.300528     -77369 
000362    2021-Jan-05 14:02:16.231234     -77068 
000363    2021-Jan-05 15:10:12.235040     -51068 
000364    2021-Jan-05 15:25:52.181441     -45078 
000365    2021-Jan-05 15:28:32.086324     -44059 
000366    2021-Jan-05 15:28:37.914138     -44021 
000367    2021-Jan-05 15:36:53.405035     -40865 
000368    2021-Jan-05 15:38:46.335721     -40153 
000369    2021-Jan-05 16:55:56.982513     -10705 
000370    2021-Jan-05 17:02:13.855390      -8319 
000371    2021-Jan-05 17:03:09.595324      -7964 
