Full photon list bin count,Filtered (by=energy flags) bin count,Filtered+ (by=energy flags background) bin count. bg is 10 counts pr 2 ms bin,left bin edge [ms]
49,16,6,848.142604
26,11,1,850.142604
20,15,5,852.142604
26,11,1,854.142604
39,11,1,856.142604
22,9,-1,858.142604
12,7,-3,860.142604
16,9,-1,862.142604
26,10,0,864.142604
16,12,2,866.142604
15,4,-6,868.142604
20,4,-6,870.142604
28,11,1,872.142604
12,4,-6,874.142604
19,12,2,876.142604
29,11,1,878.142604
19,7,-3,880.142604
21,12,2,882.142604
32,13,3,884.142604
25,9,-1,886.142604
15,6,-4,888.142604
24,9,-1,890.142604
14,10,0,892.142604
15,8,-2,894.142604
31,11,1,896.142604
51,23,13,898.142604
26,6,-4,900.142604
6,5,-5,902.142604
10,5,-5,904.142604
18,9,-1,906.142604
13,6,-4,908.142604
21,9,-1,910.142604
24,18,8,912.142604
19,7,-3,914.142604
19,7,-3,916.142604
28,10,0,918.142604
29,9,-1,920.142604
16,7,-3,922.142604
19,16,6,924.142604
22,6,-4,926.142604
25,18,8,928.142604
24,9,-1,930.142604
21,10,0,932.142604
23,14,4,934.142604
29,9,-1,936.142604
20,10,0,938.142604
10,8,-2,940.142604
14,5,-5,942.142604
27,12,2,944.142604
25,12,2,946.142604
20,10,0,948.142604
28,15,5,950.142604
28,12,2,952.142604
40,16,6,954.142604
25,14,4,956.142604
24,13,3,958.142604
25,10,0,960.142604
41,22,12,962.142604
24,14,4,964.142604
21,9,-1,966.142604
10,7,-3,968.142604
17,8,-2,970.142604
17,5,-5,972.142604
11,8,-2,974.142604
16,14,4,976.142604
32,11,1,978.142604
20,10,0,980.142604
19,9,-1,982.142604
28,6,-4,984.142604
18,4,-6,986.142604
29,17,7,988.142604
22,11,1,990.142604
52,15,5,992.142604
33,17,7,994.142604
23,8,-2,996.142604
11,8,-2,998.142604
12,3,-7,1000.142604
27,10,0,1002.142604
13,7,-3,1004.142604
16,10,0,1006.142604
23,8,-2,1008.142604
17,4,-6,1010.142604
23,10,0,1012.142604
44,17,7,1014.142604
11,9,-1,1016.142604
29,10,0,1018.142604
23,15,5,1020.142604
31,13,3,1022.142604
15,5,-5,1024.142604
12,5,-5,1026.142604
25,12,2,1028.142604
14,10,0,1030.142604
22,6,-4,1032.142604
21,10,0,1034.142604
