tus;erg;typ;adr;dau;det;kev;cal_abc
-846322.1388888889;175;0;1;1;1;1698.1368;0.005286, 8.364000, 72.553100
-843898.5277777778;248;0;1;1;1;2471.9352;0.005286, 8.364000, 72.553100
-839278.3055555555;67;0;1;1;1;656.67;0.005286, 8.364000, 72.553100
-838926.1111111111;1845;0;1;1;1;33497.8092;0.005286, 8.364000, 72.553100
-836193.4444444445;113;0;1;1;1;1085.182;0.005286, 8.364000, 72.553100
-834211.9722222222;65;0;1;1;1;638.5465;0.005286, 8.364000, 72.553100
-833045.75;37;0;1;1;1;389.2576;0.005286, 8.364000, 72.553100
-830831.6111111111;25;0;1;1;1;284.9569;0.005286, 8.364000, 72.553100
-828747.0555555555;337;0;1;1;1;3491.5468;0.005286, 8.364000, 72.553100
-825659.4166666666;176;0;1;1;1;1708.3562;0.005286, 8.364000, 72.553100
-825522.5;317;0;1;1;1;3255.126;0.005286, 8.364000, 72.553100
-825120.7222222222;783;0;1;1;1;9862.3536;0.005286, 8.364000, 72.553100
-823688.9722222222;1870;0;1;1;1;34197.8465;0.005286, 8.364000, 72.553100
-822322.6944444445;1672;0;1;1;1;28834.6181;0.005286, 8.364000, 72.553100
-822042.0555555555;1775;0;1;1;1;31572.8569;0.005286, 8.364000, 72.553100
-819335.5833333334;34;0;1;1;1;363.0397;0.005286, 8.364000, 72.553100
-817472.7222222222;91;0;1;1;1;877.4505;0.005286, 8.364000, 72.553100
-816731.0833333334;1809;0;1;1;1;32501.3637;0.005286, 8.364000, 72.553100
-816357.9444444445;2030;0;1;1;1;38834.5505;0.005286, 8.364000, 72.553100
-815922.9722222222;36;0;1;1;1;380.5078;0.005286, 8.364000, 72.553100
-812023.4722222222;603;0;1;1;1;7038.0823;0.005286, 8.364000, 72.553100
-810970.9166666666;45;0;1;1;1;459.6373;0.005286, 8.364000, 72.553100
-809036.8888888889;1057;0;1;1;1;14819.0793;0.005286, 8.364000, 72.553100
-806646.2777777778;26;0;1;1;1;293.5904;0.005286, 8.364000, 72.553100
-804737.7222222222;42;0;1;1;1;433.1656;0.005286, 8.364000, 72.553100
-804046.9444444445;50;0;1;1;1;503.9681;0.005286, 8.364000, 72.553100
-803755.8888888889;186;0;1;1;1;1811.1316;0.005286, 8.364000, 72.553100
-802445.3888888889;52;0;1;1;1;521.7744;0.005286, 8.364000, 72.553100
-802273.9166666666;118;0;1;1;1;1133.1074;0.005286, 8.364000, 72.553100
-800057.9166666666;126;0;1;1;1;1210.3376;0.005286, 8.364000, 72.553100
-799539.7222222222;38;0;1;1;1;398.0181;0.005286, 8.364000, 72.553100
-799276.7777777778;1774;0;1;1;1;31545.7328;0.005286, 8.364000, 72.553100
-798437.3888888889;252;0;1;1;1;2515.9632;0.005286, 8.364000, 72.553100
-798425.1388888889;1722;0;1;1;1;30149.8523;0.005286, 8.364000, 72.553100
-798349.8888888889;1848;0;1;1;1;33581.4648;0.005286, 8.364000, 72.553100
-794479.1944444445;311;0;1;1;1;3185.0243;0.005286, 8.364000, 72.553100
-791376.6666666666;1707;0;1;1;1;29752.5069;0.005286, 8.364000, 72.553100
