|name        |t90     |flnc_band_epeak|flnc_band_alpha|flnc_band_beta|
|GRB140422194| 361.472|   1.529784e+02|  -1.614509e+00| -1.306641e+01|
|GRB081204004|   7.424|   8.071008e+01|   4.050880e-01| -1.687811e+00|
|GRB080905705| 105.984|   1.825805e+02|  -8.522729e-01| -2.316035e+00|
|GRB141016897|  17.405|   1.557135e+02|  -9.799112e-01| -2.238750e+01|
|GRB090717034|  65.537|   1.041478e+02|  -8.860865e-01| -2.180770e+00|
|GRB121217313| 828.672|   1.096724e+02|  -8.883399e-01| -2.091209e+00|
|GRB110521478|   6.141|   3.991221e+01|  -6.048797e-01| -1.943288e+00|
|GRB191031780|  77.825|               |               |              |
|GRB111003465|  16.640|   1.899956e+02|  -9.759146e-01| -2.138136e+00|
|GRB200803703|  54.784|               |               |              |
|GRB180625941|   0.704|   5.821339e+02|  -1.807735e-01| -1.862645e+01|
|GRB170906485|  45.568|   4.797926e+01|  -1.358656e+00| -1.454356e+00|
|GRB110929187|   5.120|   1.848487e+02|  -5.056447e-01| -2.090028e+00|
|GRB171004857|   8.192|   1.248627e+02|  -6.149429e-01| -1.496777e+01|
|GRB160528276|   7.168|   1.304761e+02|  -8.560794e-01| -2.320319e+00|
|GRB150802127| 313.093|   1.690056e+02|  -6.306424e-01| -2.267696e+00|
|GRB130406288|   7.936|   8.393292e+01|  -6.293906e-01| -3.971826e+00|
|GRB170912273|  13.568|   3.339466e+01|  -3.607105e-01| -2.079737e+00|
|GRB141013803|  82.432|   9.543487e+00|  -1.160088e+00| -1.409148e+00|
|GRB170727841|  19.200|   1.204480e+02|  -4.537866e-01| -1.959232e+00|
|GRB220726405|  19.456|               |               |              |
|GRB210119121|   0.048|               |               |              |
|GRB170112970|   7.360|   5.476589e+02|  -1.247184e+00| -8.477497e+00|
|GRB190531840|  38.145|               |               |              |
|GRB150228981|  36.609|   1.659720e+02|  -1.131978e+00| -2.743794e+00|
|GRB150206285|  23.296|   1.937201e+02|  -7.216191e-01| -2.398227e+00|
|GRB151231443|  71.425|   1.965377e+02|  -9.103900e-01| -2.519441e+00|
|GRB171025913|   7.936|   3.167024e+02|  -6.733782e-01| -2.427315e+00|
|GRB180822562| 152.003|               |               |              |
|GRB211124104|   0.512|               |               |              |
|GRB140115863|  14.909|   3.705352e+02|  -1.122666e+00| -5.780604e+00|
|GRB201121130|  15.360|               |               |              |
|GRB120119229|  41.728|   1.111014e+03|  -8.538149e-01| -2.567102e+00|
|GRB080719529|  16.128|   4.401900e+01|   4.729949e-01| -1.747991e+00|
|GRB211107848|   8.384|               |               |              |
|GRB150201590|  25.600|               |               |              |
|GRB120304061|   9.984|   2.443589e+01|  -1.314556e+00| -2.262408e+00|
|GRB210621447|  15.616|               |               |              |
|GRB081006872|   3.328|   1.568047e+02|  -4.646360e-01| -3.916871e+00|
|GRB210105669|   5.120|               |               |              |
|GRB201104808|  40.448|               |               |              |
|GRB150514774|  10.813|   6.460679e+01|  -1.206043e+00| -2.431415e+00|
|GRB200630076|   7.168|               |               |              |
|GRB091231206|  42.561|   1.506935e+02|  -7.189794e-01| -2.626920e+00|
|GRB220304228|  31.489|               |               |              |
|GRB161106786|  12.544|   1.383931e+02|  -1.354849e+00| -9.771094e+00|
|GRB161110179|   1.792|   1.942684e+03|  -8.742635e-01| -1.892085e+00|
|GRB160424492|   6.592|   2.092049e+02|  -1.014612e+00| -1.023404e+01|
|GRB081121858|  41.985|   1.609417e+02|  -4.351371e-01| -2.095725e+00|
|GRB120511638|  45.249|   9.470032e+02|  -7.965500e-01| -1.704665e+00|
|GRB130730243|  27.904|   6.020445e+01|  -1.128339e+00| -3.528067e+00|
|GRB130304658|  23.296|   2.252617e+02|  -8.936836e-01| -1.284313e+01|
|GRB190422957| 213.252|               |               |              |
|GRB080723557|  58.369|   1.740816e+02|  -6.371412e-01| -2.100025e+00|
|GRB191205741|   2.048|               |               |              |
|GRB080714745|  59.649|   8.148514e+01|  -2.284326e-01| -1.950379e+00|
|GRB140716436| 168.253|   1.085989e+02|  -8.742977e-01| -2.246873e+00|
|GRB130701060|  20.224|   7.785436e+02|  -1.111080e+00| -6.408695e+00|
|GRB130617564|   0.768|   3.505897e+02|  -1.257714e-01| -4.789264e+00|
|GRB160912350|  32.705|   1.579710e+02|  -1.119351e+00| -2.202545e+00|
|GRB150827785|  10.496|   1.830957e+02|  -6.484649e-01| -2.303796e+00|
|GRB180505540|  21.760|   2.115300e+02|  -1.321797e+00| -2.949019e+00|
|GRB200901158|  10.176|               |               |              |
|GRB200617679|   1.216|               |               |              |
|GRB190119249|  34.304|               |               |              |
