tus,erg,typ,adr,dau,det,keV,cal_abc
118186.61111111111,1498,0,11,4,2,28266.444996,"0.001654, 16.4206, -43.19642"
119791.13888888889,1036,0,11,4,2,18743.776764000002,"0.001654, 16.4206, -43.19642"
120261.55555555556,38,0,11,4,2,583.174756,"0.001654, 16.4206, -43.19642"
122566.41666666667,36,0,11,4,2,550.0887640000001,"0.001654, 16.4206, -43.19642"
126178.25,1666,0,11,4,2,31904.292804,"0.001654, 16.4206, -43.19642"
127436.80555555556,266,0,11,4,2,4441.713604,"0.001654, 16.4206, -43.19642"
128730.83333333333,193,0,11,4,2,3187.5892259999996,"0.001654, 16.4206, -43.19642"
132015.66666666666,37,0,11,4,2,566.630106,"0.001654, 16.4206, -43.19642"
133918.08333333334,1753,0,11,4,2,33824.872266,"0.001654, 16.4206, -43.19642"
135206.16666666666,1581,0,11,4,2,30052.046073999998,"0.001654, 16.4206, -43.19642"
135325.91666666666,463,0,11,4,2,7914.107706,"0.001654, 16.4206, -43.19642"
136176.77777777778,71,0,11,4,2,1131.003994,"0.001654, 16.4206, -43.19642"
137027.13888888888,41,0,11,4,2,632.828554,"0.001654, 16.4206, -43.19642"
139694.41666666666,62,0,11,4,2,981.238756,"0.001654, 16.4206, -43.19642"
140868.61111111112,46,0,11,4,2,715.6510440000001,"0.001654, 16.4206, -43.19642"
143597.83333333334,252,0,11,4,2,4199.830396,"0.001654, 16.4206, -43.19642"
149840.22222222222,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
153650.72222222222,245,0,11,4,2,4079.1319299999996,"0.001654, 16.4206, -43.19642"
154164.58333333334,34,0,11,4,2,517.016004,"0.001654, 16.4206, -43.19642"
155752.75,280,0,11,4,2,4684.24518,"0.001654, 16.4206, -43.19642"
157097.61111111112,31,0,11,4,2,467.43167400000004,"0.001654, 16.4206, -43.19642"
157500.66666666666,1296,0,11,4,2,24015.986044,"0.001654, 16.4206, -43.19642"
158598.08333333334,74,0,11,4,2,1180.9852839999999,"0.001654, 16.4206, -43.19642"
159507.63888888888,1117,0,11,4,2,20362.291386,"0.001654, 16.4206, -43.19642"
160435.11111111112,35,0,11,4,2,533.55073,"0.001654, 16.4206, -43.19642"
160472.63888888888,108,0,11,4,2,1749.520636,"0.001654, 16.4206, -43.19642"
160665.16666666666,361,0,11,4,2,6100.191114,"0.001654, 16.4206, -43.19642"
161998.05555555556,1593,0,11,4,2,30312.090826,"0.001654, 16.4206, -43.19642"
165997.47222222222,1963,0,11,4,2,38563.913706,"0.001654, 16.4206, -43.19642"
